City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1755.0,1242.46,Várias companhias aéreas,ICN,2023-03-30,2023-04-03,http://kayak.com/flights/OPO-ICN/2023-03-30/2023-04-03/,1242.46,1.0
Paris,França,130.0,32.9,Ryanair,PAR,2023-06-01,2023-06-06,http://kayak.com/flights/OPO-PAR/2023-06-01/2023-06-06/,32.9,1.0
Nova Iorque,Estados Unidos,850.0,402.25,Várias companhias aéreas,NYC,2023-09-21,2023-09-28,http://kayak.com/flights/OPO-NYC/2023-09-21/2023-09-28/,402.25,1.0
Los Angeles,Estados Unidos,1060.0,665.4,Várias companhias aéreas,LAX,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-LAX/2023-09-18/2023-09-25/,665.4,1.0
Londres,Reino Unido,150.0,64.85,easyJet,LON,2023-11-23,2023-11-28,http://kayak.com/flights/OPO-LON/2023-11-23/2023-11-28/,64.85,1.0
Copenhaga,Dinamarca,210.0,109.97,Ryanair,CPH,2023-04-05,2023-04-12,http://kayak.com/flights/OPO-CPH/2023-04-05/2023-04-12/,109.97,1.0
Banguecoque,Tailândia,1895.0,1154.12,Várias companhias aéreas,BKK,2023-07-13,2023-07-17,http://kayak.com/flights/OPO-BKK/2023-07-13/2023-07-17/,1154.12,1.0
Madrid,Espanha,75.0,31.02,Várias companhias aéreas,MAD,2023-04-12,2023-04-19,http://kayak.com/flights/OPO-MAD/2023-04-12/2023-04-19/,31.02,1.0
Barcelona,Espanha,115.0,27.26,Vueling,BCN,2023-11-11,2023-11-18,http://kayak.com/flights/OPO-BCN/2023-11-11/2023-11-18/,27.26,1.0
Miami,Estados Unidos,1675.0,480.26,American Airlines,MIA,2023-04-10,2023-04-17,http://kayak.com/flights/OPO-MIA/2023-04-10/2023-04-17/,480.26,1.0
São Francisco,Estados Unidos,2040.0,760.33,Várias companhias aéreas,SFO,2023-04-10,2023-04-17,http://kayak.com/flights/OPO-SFO/2023-04-10/2023-04-17/,760.33,1.0
Boston,Estados Unidos,1880.0,516.91,American Airlines,BOS,2023-10-16,2023-10-22,http://kayak.com/flights/OPO-BOS/2023-10-16/2023-10-22/,516.91,1.0
Lisboa,Portugal,60.0,75.19,TAP AIR PORTUGAL,LIS,2023-03-21,2023-03-28,http://kayak.com/flights/OPO-LIS/2023-03-21/2023-03-28/,75.19,1.0
