City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,4070,1354.3,LOT,ICN,2023-04-01,2023-04-08,http://kayak.com/flights/EWR-ICN/2023-04-01/2023-04-08/,1354.3,1
Paris,França,1250,389.09,TAP AIR PORTUGAL,PAR,2023-11-06,2023-11-13,http://kayak.com/flights/EWR-PAR/2023-11-06/2023-11-13/,389.09,1
Los Angeles,Estados Unidos,797,139.1,Spirit Airlines,LAX,2023-05-09,2023-05-16,http://kayak.com/flights/EWR-LAX/2023-05-09/2023-05-16/,139.1,1
Copenhaga,Dinamarca,670,353.38,Icelandair,CPH,2023-10-01,2023-10-07,http://kayak.com/flights/EWR-CPH/2023-10-01/2023-10-07/,353.38,1
Miami,Estados Unidos,186,58.27,Spirit Airlines,MIA,2023-04-22,2023-04-26,http://kayak.com/flights/EWR-MIA/2023-04-22/2023-04-26/,58.27,1
São Francisco,Estados Unidos,1323,194.55,Várias companhias aéreas,SFO,2023-04-26,2023-05-03,http://kayak.com/flights/EWR-SFO/2023-04-26/2023-05-03/,194.55,1
Madrid,Espanha,1420,462.4,TAP AIR PORTUGAL,MAD,2024-02-16,2024-02-23,http://kayak.com/flights/EWR-MAD/2024-02-16/2024-02-23/,462.4,1
Boston,Estados Unidos,91,92.11,United Airlines,BOS,2023-04-20,2023-04-24,http://kayak.com/flights/EWR-BOS/2023-04-20/2023-04-24/,92.11,1
Barcelona,Espanha,1425,455.82,Scandinavian Airlines,BCN,2023-10-16,2023-10-23,http://kayak.com/flights/EWR-BCN/2023-10-16/2023-10-23/,455.82,1
Banguecoque,Tailândia,1505,841.15,United Airlines,BKK,2023-04-26,2023-05-03,http://kayak.com/flights/EWR-BKK/2023-04-26/2023-05-03/,841.15,1
Lisboa,Portugal,850,570.48,Várias companhias aéreas,LIS,2023-12-07,2023-12-12,http://kayak.com/flights/EWR-LIS/2023-12-07/2023-12-12/,570.48,1
Viena,Áustria,785,531.01,Várias companhias aéreas,VIE,2023-04-18,2023-04-24,http://kayak.com/flights/EWR-VIE/2023-04-18/2023-04-24/,531.01,1
Frankfurt,Alemanha,675,490.6,Icelandair,FRA,2023-12-06,2023-12-13,http://kayak.com/flights/EWR-FRA/2023-12-06/2023-12-13/,490.6,1
Amesterdão,Holanda,1480,396.61,Scandinavian Airlines,AMS,2023-03-20,2023-03-24,http://kayak.com/flights/EWR-AMS/2023-03-20/2023-03-24/,396.61,1
Las Vegas,Estados Unidos,944,132.52,Várias companhias aéreas,LAS,2023-04-16,2023-04-20,http://kayak.com/flights/EWR-LAS/2023-04-16/2023-04-20/,132.52,1
Atlanta,Estados Unidos,147,49.82,Spirit Airlines,ATL,2023-04-17,2023-04-21,http://kayak.com/flights/EWR-ATL/2023-04-17/2023-04-21/,49.82,1
