City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2010.0,3112.72,Qatar Airways,ICN,2023-06-14,2023-06-21,http://kayak.com/flights/DEN-ICN/2023-06-14/2023-06-21/,3112.72,1.0
Paris,França,1855.0,1206.75,WestJet,PAR,2023-06-01,2023-06-08,http://kayak.com/flights/DEN-PAR/2023-06-01/2023-06-08/,1206.75,1.0
Nova Iorque,Estados Unidos,540.0,222.74,United Airlines,NYC,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-NYC/2023-06-01/2023-06-05/,222.74,1.0
Los Angeles,Estados Unidos,150.0,195.49,United Airlines,LAX,2023-06-22,2023-06-27,http://kayak.com/flights/DEN-LAX/2023-06-22/2023-06-27/,195.49,1.0
Londres,Reino Unido,1315.0,866.53,Várias companhias aéreas,LON,2023-06-04,2023-06-09,http://kayak.com/flights/DEN-LON/2023-06-04/2023-06-09/,866.53,1.0
Copenhaga,Dinamarca,1175.0,1390.01,Icelandair,CPH,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-CPH/2023-06-17/2023-06-24/,1390.01,1.0
Banguecoque,Tailândia,1821.0,1688.88,Várias companhias aéreas,BKK,2023-06-12,2023-06-18,http://kayak.com/flights/DEN-BKK/2023-06-12/2023-06-18/,1688.88,1.0
Madrid,Espanha,1152.0,1362.76,Várias companhias aéreas,MAD,2023-06-19,2023-06-26,http://kayak.com/flights/DEN-MAD/2023-06-19/2023-06-26/,1362.76,1.0
Miami,Estados Unidos,256.0,214.29,Spirit Airlines,MIA,2023-06-14,2023-06-20,http://kayak.com/flights/DEN-MIA/2023-06-14/2023-06-20/,214.29,1.0
Barcelona,Espanha,2075.0,1391.89,United Airlines,BCN,2023-06-06,2023-06-12,http://kayak.com/flights/DEN-BCN/2023-06-06/2023-06-12/,1391.89,1.0
São Francisco,Estados Unidos,171.0,262.22,Frontier,SFO,2023-06-19,2023-06-23,http://kayak.com/flights/DEN-SFO/2023-06-19/2023-06-23/,262.22,1.0
Boston,Estados Unidos,810.0,267.86,Frontier,BOS,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-BOS/2023-06-01/2023-06-05/,267.86,1.0
Lisboa,Portugal,1880.0,1687.0,Lufthansa,LIS,2023-06-18,2023-06-24,http://kayak.com/flights/DEN-LIS/2023-06-18/2023-06-24/,1687.0,1.0
Viena,Áustria,1555.0,1382.49,Várias companhias aéreas,VIE,2023-06-05,2023-06-11,http://kayak.com/flights/DEN-VIE/2023-06-05/2023-06-11/,1382.49,1.0
Frankfurt,Alemanha,1813.0,1566.7,Várias companhias aéreas,FRA,2023-06-22,2023-06-28,http://kayak.com/flights/DEN-FRA/2023-06-22/2023-06-28/,1566.7,1.0
Amesterdão,Holanda,950.0,1434.19,United Airlines,AMS,2023-06-09,2023-06-15,http://kayak.com/flights/DEN-AMS/2023-06-09/2023-06-15/,1434.19,1.0
Las Vegas,Estados Unidos,125.0,150.38,Frontier,LAS,2023-06-06,2023-06-10,http://kayak.com/flights/DEN-LAS/2023-06-06/2023-06-10/,150.38,1.0
Roma,Itália,1155.0,1483.06,Air Canada,ROM,2023-06-22,2023-06-29,http://kayak.com/flights/DEN-ROM/2023-06-22/2023-06-29/,1483.06,1.0
